--------------------------------------------------------------------------------
JobId          : qinlab-0-636903f5
Name           : ligprep_1
Program        : LigPrep
MMshareExec    : /opt/schrodinger2017-4/./mmshare-v4.0/bin/Linux-x86_64
Host           : qinlab
Dir            : /home/admin/@Z_H/dock_11.7/5zty/ligprep_1
HostEntry      : localhost
JobHost        : qinlab
JobDir         : /scratch/qinlab/ligprep_1
JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
Commandline    : /opt/schrodinger2017-4/./ligprep -inp ligprep_1.inp -HOST localhost:36 -NJOBS 1 -PROJ /home/qinlab/.schrodinger/tmp/tproj47400a545988 -DISP append -VIEWNAME ligprep_gui.LigPrepPanel -TMPLAUNCHDIR -ATTACHED
StartTime      : 2022-11-07-21:11:18
--------------------------------------------------------------------------------
LigPrep: preparing subjobs

Running subjobs on hosts:
  localhost (Max: 36)
Number of jobs:       1
Max retries per job:  2
Max allowed failures: unlimited
Run with -LOCAL:      False
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

C A W | Activity  JobId  JobName  JobHost
- - - | --------- -----------------------
0 1 0 | launched  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]
1 0 0 | finished  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]

All jobs have completed.

1 of 1 job(s) succeeded; 0 job(s) failed.

--------------------------------------------------------------------------------
SUBJOB:  ligprep_1-1 

--------------------------------------------------------------------------------
 JobId          : qinlab-0-636903f7
 Name           : ligprep_1-1
 Program        : LigPrep
 MMshareExec    : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Host           : qinlab
 Dir            : /scratch/qinlab/ligprep_1
 HostEntry      : localhost
 JobHost        : qinlab
 JobDir         : /scratch/qinlab/ligprep_1-1
 JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Commandline    : /opt/schrodinger2017-4/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz -HOST localhost
 StartTime      : 2022-11-07-21:11:19
 --------------------------------------------------------------------------------
 LigPrep (version 44011). Copyright Schrodinger, LLC. All rights reserved.
 
 LigPrep command:
 $SCHRODINGER/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz
 
 Processing steps:
 $DO/sdconvert_in.pyc -bad -orig_file_index 0 -orig_file ligprep_1.sdf in_ligprep_1-1.sdf
 $DO/sdstereoexpander.pyc -max_output 32 -max_generated 1024 <infile.mae> <outfile.mae>
 $DO/htreat.pyc -t All-None -a all -s -l 200 <infile.mae> <outfile.mae>
 $DO/desalter.pyc <infile.mae> <outfile.mae>
 $DO/neutralizer.pyc -m 200 <infile.mae> <outfile.mae>
 $DO/epik.pyc -ph 7.0 -tn 8 -ma 200 -imae <infile.mae> -omae <outfile.mae>
 $DO/guard.pyc <infile.mae> <outfile.mae>
 $DO/stereoizer.pyc -label_specified_chiralities -n 32 <infile.mae> <outfile.mae>
 $DO/cgx.pyc -optimize -ffld 16 -epsilon 10.0 <infile.mae> <outfile.mae>
 
 DO=$SCHRODINGER/run -FROM macromodel ../../lib/Linux-x86_64/python_packages/ligprep3/
 
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
 WARNING: entry #1: empty title, assigning generic 'ligprep_1.sdf:1'.
     1260   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1260'
     1261   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1261'
     1262   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1262'
     1263   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1263'
     1264   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1264'
     1265   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1265'
     1266   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1266'
     1267   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1267'
     1268   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1268'
     1269   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1269'
     1270   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1270'
     1271   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1271'
     1272   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1272'
     1273   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1273'
     1274   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1274'
     1275   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1275'
     1276   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1276'
     1277   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1277'
     1278   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1278'
     1279   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1279'
     1280   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1280'
     1281   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1281'
     1282   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1282'
     1283   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1283'
     1284   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1284'
     1285   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1285'
     1286   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1286'
     1287   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1287'
     1288   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1288'
     1289   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1289'
     1290   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1290'
 WARNING : MMCT WARNING(-3): mmct_ct_delete(): 
 	cannot delete ct -10000.  CT handle cannot be less than zero.
 WARNING : MMCT WARNING(-3): mmct_ct_delete(): 
 	cannot delete ct -10000.  CT handle cannot be less than zero.
     1291   1/0     1/0     1/0     1/0     3/0     3/0     4/0     4/0   'ligprep_1.sdf:1291'
     1292   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1292'
     1293   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1293'
     1294   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1294'
     1295   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1295'
     1296   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1296'
     1297   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1297'
     1298   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1298'
     1299   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1299'
     1300   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1300'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
     1301   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1301'
     1302   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1302'
     1303   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1303'
     1304   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1304'
     1305   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1305'
     1306   2/0     2/0     2/0     2/0     6/0     6/0    10/0    10/0   'ligprep_1.sdf:1306'
     1307   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1307'
     1308   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1308'
     1309   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1309'
     1310   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1310'
     1311   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1311'
     1312   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1312'
     1313   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1313'
     1314   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1314'
     1315   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1315'
 WARNING : MMCT WARNING(-3): mmct_ct_delete(): 
 	cannot delete ct -10000.  CT handle cannot be less than zero.
 WARNING : MMCT WARNING(-3): mmct_ct_delete(): 
 	cannot delete ct -10000.  CT handle cannot be less than zero.
     1316   1/0     1/0     1/0     1/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:1316'
     1317   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1317'
     1318   2/0     2/0     2/0     2/0     6/0     6/0     6/0     6/0   'ligprep_1.sdf:1318'
     1319   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1319'
     1320   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1320'
     1321   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1321'
     1322   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1322'
     1323   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1323'
     1324   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1324'
     1325   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1325'
     1326   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1326'
     1327   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1327'
     1328   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1328'
     1329   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1329'
     1330   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1330'
     1331   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1331'
     1332   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1332'
     1333   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1333'
     1334   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1334'
     1335   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1335'
     1336   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1336'
     1337   1/0     1/0     1/0     1/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:1337'
     1338   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1338'
     1339   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1339'
     1340   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1340'
     1341   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1341'
     1342   2/0     2/0     2/0     2/0     6/0     6/0    10/0    10/0   'ligprep_1.sdf:1342'
     1343   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1343'
     1344   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1344'
     1345   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1345'
     1346   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1346'
     1347   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1347'
     1348   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1348'
     1349   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1349'
     1350   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1350'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
     1351   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1351'
     1352   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1352'
     1353   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1353'
     1354   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1354'
     1355   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1355'
     1356   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1356'
     1357   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1357'
     1358   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1358'
     1359   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1359'
     1360   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1360'
     1361   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1361'
     1362   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1362'
     1363   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1363'
     1364   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1364'
     1365   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1365'
     1366   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1366'
     1367   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1367'
     1368   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1368'
     1369   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1369'
     1370   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1370'
     1371   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1371'
     1372   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1372'
     1373   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1373'
     1374   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1374'
     1375   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1375'
     1376   1/0     1/0     1/0     1/0     2/0     2/0     4/0     4/0   'ligprep_1.sdf:1376'
     1377   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1377'
 WARNING : MMCT WARNING(-3): mmct_ct_delete(): 
 	cannot delete ct -10000.  CT handle cannot be less than zero.
 WARNING : MMCT WARNING(-3): mmct_ct_delete(): 
 	cannot delete ct -10000.  CT handle cannot be less than zero.
     1378   1/0     1/0     1/0     1/0     3/0     3/0     4/0     4/0   'ligprep_1.sdf:1378'
     1379   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1379'
     1380   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1380'
     1381   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1381'
     1382   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1382'
     1383   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1383'
     1384   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1384'
     1385   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1385'
     1386   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1386'
     1387   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1387'
     1388   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1388'
     1389   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1389'
     1390   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1390'
     1391   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1391'
     1392   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1392'
     1393   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1393'
     1394   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1394'
     1395   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1395'
     1396   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1396'
     1397   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1397'
     1398   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1398'
     1399   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1399'
     1400   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1400'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
     1401   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1401'
     1402   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1402'
     1403   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1403'
     1404   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1404'
     1405   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1405'
     1406   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1406'
     1407   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1407'
     1408   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1408'
     1409   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1409'
     1410   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1410'
     1411   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1411'
     1412   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1412'
     1413   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1413'
     1414   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1414'
     1415   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1415'
     1416   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1416'
     1417   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1417'
     1418   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1418'
     1419   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1419'
     1420   1/0     1/0     1/0     1/0     2/0     2/0     4/0     4/0   'ligprep_1.sdf:1420'
     1421   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1421'
     1422   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1422'
     1423   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1423'
     1424   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1424'
     1425   1/0     1/0     1/0     1/0     3/0     3/0     4/0     4/0   'ligprep_1.sdf:1425'
     1426   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1426'
     1427   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1427'
     1428   1/0     1/0     1/0     1/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:1428'
     1429   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1429'
     1430   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1430'
     1431   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1431'
     1432   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1432'
     1433   1/0     1/0     1/0     1/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:1433'
     1434   1/0     1/0     1/0     1/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:1434'
     1435   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1435'
     1436   1/0     1/0     1/0     1/0     5/0     5/0     8/0     8/0   'ligprep_1.sdf:1436'
     1437   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1437'
     1438   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1438'
     1439   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1439'
     1440   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1440'
     1441   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1441'
     1442   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1442'
     1443   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1443'
     1444   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1444'
     1445   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1445'
     1446   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1446'
     1447   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1447'
     1448   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1448'
     1449   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1449'
     1450   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1450'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
     1451   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1451'
     1452   1/0     1/0     1/0     1/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:1452'
     1453   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1453'
     1454   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1454'
     1455   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1455'
     1456   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1456'
     1457   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1457'
     1458   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1458'
     1459   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1459'
     1460   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1460'
     1461   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1461'
     1462   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1462'
     1463   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1463'
     1464   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1464'
     1465   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1465'
     1466   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1466'
     1467   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1467'
     1468   1/0     1/0     1/0     1/0     3/0     3/0     5/0     5/0   'ligprep_1.sdf:1468'
     1469   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1469'
     1470   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1470'
     1471   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1471'
     1472   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1472'
     1473   1/0     1/0     1/0     1/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:1473'
     1474   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1474'
     1475   1/0     1/0     1/0     1/0     3/0     3/0     4/0     4/0   'ligprep_1.sdf:1475'
     1476   2/0     2/0     2/0     2/0     6/0     6/0    10/0    10/0   'ligprep_1.sdf:1476'
     1477   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1477'
     1478   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1478'
     1479   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1479'
     1480   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1480'
     1481   1/0     1/0     1/0     1/0     5/0     5/0     7/0     7/0   'ligprep_1.sdf:1481'
     1482   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1482'
